City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
594,Keti Bandar,PK,83.07,overcast clouds,24.14,67.45,Haji laloo memon house
596,Pemba,MZ,77.74,broken clouds,-12.97,40.52,Guesthouse Samotina
597,Hyeres,FR,75.2,light rain,43.12,6.12,ibis budget Hyères Centre-Ville
600,Mount Pleasant,US,86.0,broken clouds,32.79,-79.86,Best Western Patriots Point
604,Pizarro,CO,75.78,light rain,4.95,-77.37,"Playa Pizarro, Bajo Baudó, Chocó, Colombia"
606,Teluk Nibung,ID,79.95,clear sky,3.0,99.82,PONDOK FELISHA JUICE
607,Formosa,AR,84.2,smoke,-26.18,-58.18,Asterión Hotel
608,Pochutla,MX,77.0,overcast clouds,15.74,-96.47,Hotel Posada San Jose
609,Stolin,BY,76.69,scattered clouds,51.89,26.85,Stolinskiy Khlebozavod
611,Sunyani,GH,85.12,light rain,7.34,-2.33,Nass Lodge
612,Gambela,ET,76.82,overcast clouds,8.25,34.58,Solomon Debebe Hotel
613,Vaitape,PF,77.85,light rain,-16.52,-151.75,Conrad Bora Bora Nui
614,Ternate,ID,80.74,light rain,0.8,127.4,Grand Dafam Bela Ternate
615,Makakilo City,US,78.8,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
