City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Lagoa,PT,39.05,-27.98,74.46,93,76,11.95,broken clouds
231,Itarema,BR,-2.92,-39.92,91.4,49,40,29.97,scattered clouds
232,Beira,MZ,-19.84,34.84,80.6,74,0,16.11,smoke
233,Oranjemund,NA,-28.55,16.43,56.82,58,27,12.91,scattered clouds
234,Yar-Sale,RU,66.83,70.83,49.89,58,0,11.41,clear sky
235,Wuxue,CN,29.85,115.55,75.25,81,0,3.85,clear sky
236,Ayagoz,KZ,47.97,80.44,63.43,40,0,13.87,clear sky
237,Gravdal,NO,68.12,13.5,49.84,68,94,5.23,overcast clouds
238,Anori,BR,-3.77,-61.64,93.51,46,0,2.46,clear sky
239,Dunedin,NZ,-45.87,170.5,55.0,73,70,14.67,broken clouds
240,Port Lincoln,AU,-34.73,135.87,57.99,81,91,16.67,overcast clouds
241,Acapulco,MX,16.86,-99.89,77.0,94,75,4.7,broken clouds
242,Vega De Alatorre,MX,20.03,-96.63,81.9,73,87,1.9,overcast clouds
243,Merauke,ID,-8.47,140.33,78.6,83,100,17.16,light rain
244,Tevriz,RU,57.51,72.4,62.83,76,85,3.27,overcast clouds
245,Kaniama,CD,-7.57,24.18,91.8,31,26,2.26,scattered clouds
246,Korla,CN,41.76,86.15,71.01,81,0,5.99,clear sky
247,Warragul,AU,-38.17,145.93,48.99,66,0,1.99,clear sky
248,Blagoyevo,RU,63.37,47.92,61.45,61,86,6.69,overcast clouds
249,Bud,US,39.45,-86.18,75.99,78,75,8.05,broken clouds
250,Palmer,US,42.16,-72.33,70.0,100,90,2.21,light rain
251,Waipawa,NZ,-41.41,175.52,55.4,76,1,17.22,clear sky
252,Oksfjord,NO,70.24,22.35,53.6,66,97,9.17,overcast clouds
253,Takab,IR,36.4,47.11,84.61,14,2,8.14,clear sky
254,Necochea,AR,-38.55,-58.74,48.99,77,92,17.0,overcast clouds
255,Labuhan,ID,-6.88,112.21,80.56,77,12,7.52,few clouds
256,Sao Filipe,CV,14.9,-24.5,80.87,79,100,3.36,overcast clouds
257,Constitucion,CL,-35.33,-72.42,51.55,81,38,5.41,scattered clouds
258,Carballo,ES,43.21,-8.69,66.2,63,40,12.75,scattered clouds
259,Birjand,IR,32.87,59.22,84.2,6,0,13.87,clear sky
